Cache Size (KB),Block Size,Associativty,Replacement Policy,Total Blocks,Tag Size (bits),Index Size (bits),Total Rows,Overhead Size,Implementation Size,Cost ($),Total Accesses,Total Hits,Total Misses,Compulsory Misses,Conflict Misses,Hit Rate,Miss Rate,CPI,Unused Space,Unused Blocks,Waste ($),Filename
8,8,4,Random,1024,21,8,256,2816,10,0.75,413303,355783,57520,1024,56496,86.08%,13.92%,4.75,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,8,4,Random,1024,21,8,256,2816,10,0.75,420288,337875,82413,1024,81389,80.39%,19.61%,5.24,0.00%,0,0,A-9_new_1.5.pdf.trc
8,8,4,Random,1024,21,8,256,2816,10,0.75,490514,432871,57643,1024,56619,88.25%,11.75%,4.63,0.00%,0,0,Corruption2.trc
8,8,8,Round Robin,1024,22,7,128,2944,10,0.76,413303,378321,34982,1024,33958,91.54%,8.46%,4.29,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,8,8,Round Robin,1024,22,7,128,2944,10,0.76,420288,372346,47942,1024,46918,88.59%,11.41%,4.56,0.00%,0,0,A-9_new_1.5.pdf.trc
8,8,8,Round Robin,1024,22,7,128,2944,10,0.76,490514,458607,31907,1024,30883,93.50%,6.50%,4.19,0.00%,0,0,Corruption2.trc
8,8,8,Random,1024,22,7,128,2944,10,0.76,413303,346282,67021,1024,65997,83.78%,16.22%,4.94,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,8,8,Random,1024,22,7,128,2944,10,0.76,420288,324411,95877,1024,94853,77.19%,22.81%,5.51,0.00%,0,0,A-9_new_1.5.pdf.trc
8,8,8,Random,1024,22,7,128,2944,10,0.76,490514,423330,67184,1024,66160,86.30%,13.70%,4.8,0.00%,0,0,Corruption2.trc
8,16,2,Round Robin,512,20,8,256,1344,9,0.65,377255,352301,24954,512,24442,93.39%,6.61%,4.35,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,16,2,Round Robin,512,20,8,256,1344,9,0.65,387850,351655,36195,512,35683,90.67%,9.33%,4.87,0.00%,0,0,A-9_new_1.5.pdf.trc
8,16,2,Round Robin,512,20,8,256,1344,9,0.65,446309,422381,23928,512,23416,94.64%,5.36%,4.2,0.00%,0,0,Corruption2.trc
8,16,2,Random,512,20,8,256,1344,9,0.65,377255,342494,34761,512,34249,90.79%,9.21%,4.78,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,16,2,Random,512,20,8,256,1344,9,0.65,387850,337462,50388,512,49876,87.01%,12.99%,5.48,0.00%,0,0,A-9_new_1.5.pdf.trc
8,16,2,Random,512,20,8,256,1344,9,0.65,446309,411216,35093,512,34581,92.14%,7.86%,4.61,0.00%,0,0,Corruption2.trc
8,16,4,Round Robin,512,21,7,128,1408,9,0.66,377255,353709,23546,512,23034,93.76%,6.24%,4.29,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,16,4,Round Robin,512,21,7,128,1408,9,0.66,387850,355824,32026,512,31514,91.74%,8.26%,4.69,0.00%,0,0,A-9_new_1.5.pdf.trc
8,16,4,Round Robin,512,21,7,128,1408,9,0.66,446309,423500,22809,512,22297,94.89%,5.11%,4.15,0.00%,0,0,Corruption2.trc
8,16,4,Random,512,21,7,128,1408,9,0.66,377255,335261,41994,512,41482,88.87%,11.13%,5.09,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,16,4,Random,512,21,7,128,1408,9,0.66,387850,331218,56632,512,56120,85.40%,14.60%,5.74,0.00%,0,0,A-9_new_1.5.pdf.trc
8,16,4,Random,512,21,7,128,1408,9,0.66,446309,402599,43710,512,43198,90.21%,9.79%,4.93,0.00%,0,0,Corruption2.trc
8,16,8,Round Robin,512,22,6,64,1472,9,0.66,377255,354345,22910,512,22398,93.93%,6.07%,4.26,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,16,8,Round Robin,512,22,6,64,1472,9,0.66,387850,357221,30629,512,30117,92.10%,7.90%,4.63,0.00%,0,0,A-9_new_1.5.pdf.trc
8,16,8,Round Robin,512,22,6,64,1472,9,0.66,446309,424703,21606,512,21094,95.16%,4.84%,4.11,0.00%,0,0,Corruption2.trc
8,16,8,Random,512,22,6,64,1472,9,0.66,377255,328541,48714,512,48202,87.09%,12.91%,5.38,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,16,8,Random,512,22,6,64,1472,9,0.66,387850,321472,66378,512,65866,82.89%,17.11%,6.16,0.00%,0,0,A-9_new_1.5.pdf.trc
8,16,8,Random,512,22,6,64,1472,9,0.66,446309,393818,52491,512,51979,88.24%,11.76%,5.25,0.00%,0,0,Corruption2.trc
8,32,2,Round Robin,256,20,7,128,672,8,0.61,361364,343068,18296,256,18040,94.94%,5.06%,4.77,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,32,2,Round Robin,256,20,7,128,672,8,0.61,373450,346957,26493,256,26237,92.91%,7.09%,5.54,0.00%,0,0,A-9_new_1.5.pdf.trc
8,32,2,Round Robin,256,20,7,128,672,8,0.61,425395,408365,17030,256,16774,96.00%,4.00%,4.46,0.00%,0,0,Corruption2.trc
8,32,2,Random,256,20,7,128,672,8,0.61,361364,333843,27521,256,27265,92.38%,7.62%,5.6,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,32,2,Random,256,20,7,128,672,8,0.61,373450,335280,38170,256,37914,89.78%,10.22%,6.57,0.00%,0,0,A-9_new_1.5.pdf.trc
8,32,2,Random,256,20,7,128,672,8,0.61,425395,398822,26573,256,26317,93.75%,6.25%,5.19,0.00%,0,0,Corruption2.trc
8,32,4,Round Robin,256,21,6,64,704,8,0.61,361364,344222,17142,256,16886,95.26%,4.74%,4.67,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,32,4,Round Robin,256,21,6,64,704,8,0.61,373450,349970,23480,256,23224,93.71%,6.29%,5.27,0.00%,0,0,A-9_new_1.5.pdf.trc
8,32,4,Round Robin,256,21,6,64,704,8,0.61,425395,409568,15827,256,15571,96.28%,3.72%,4.37,0.00%,0,0,Corruption2.trc
8,32,4,Random,256,21,6,64,704,8,0.61,361364,326707,34657,256,34401,90.41%,9.59%,6.24,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,32,4,Random,256,21,6,64,704,8,0.61,373450,330117,43333,256,43077,88.40%,11.60%,7.03,0.00%,0,0,A-9_new_1.5.pdf.trc
8,32,4,Random,256,21,6,64,704,8,0.61,425395,390585,34810,256,34554,91.82%,8.18%,5.82,0.00%,0,0,Corruption2.trc
8,32,8,Round Robin,256,22,5,32,736,8,0.61,361364,345068,16296,256,16040,95.49%,4.51%,4.59,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,32,8,Round Robin,256,22,5,32,736,8,0.61,373450,351828,21622,256,21366,94.21%,5.79%,5.11,0.00%,0,0,A-9_new_1.5.pdf.trc
8,32,8,Round Robin,256,22,5,32,736,8,0.61,425395,410962,14433,256,14177,96.61%,3.39%,4.26,0.00%,0,0,Corruption2.trc
8,32,8,Random,256,22,5,32,736,8,0.61,361364,321239,40125,256,39869,88.90%,11.10%,6.73,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,32,8,Random,256,22,5,32,736,8,0.61,373450,322370,51080,256,50824,86.32%,13.68%,7.71,0.00%,0,0,A-9_new_1.5.pdf.trc
8,32,8,Random,256,22,5,32,736,8,0.61,425395,381643,43752,256,43496,89.71%,10.29%,6.51,0.00%,0,0,Corruption2.trc
8,64,2,Round Robin,128,20,6,64,336,8,0.58,354809,339111,15698,128,15570,95.58%,4.42%,5.93,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,64,2,Round Robin,128,20,6,64,336,8,0.58,366344,343705,22639,128,22511,93.82%,6.18%,7.21,0.00%,0,0,A-9_new_1.5.pdf.trc
8,64,2,Round Robin,128,20,6,64,336,8,0.58,417698,404151,13547,128,13419,96.76%,3.24%,5.21,0.00%,0,0,Corruption2.trc
8,64,2,Random,128,20,6,64,336,8,0.58,354809,329797,25012,128,24884,92.95%,7.05%,7.63,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,64,2,Random,128,20,6,64,336,8,0.58,366344,331213,35131,128,35003,90.41%,9.59%,9.45,0.00%,0,0,A-9_new_1.5.pdf.trc
8,64,2,Random,128,20,6,64,336,8,0.58,417698,393429,24269,128,24141,94.19%,5.81%,6.88,0.00%,0,0,Corruption2.trc
8,64,4,Round Robin,128,21,5,32,352,8,0.58,354809,340441,14368,128,14240,95.95%,4.05%,5.69,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,64,4,Round Robin,128,21,5,32,352,8,0.58,366344,346523,19821,128,19693,94.59%,5.41%,6.7,0.00%,0,0,A-9_new_1.5.pdf.trc
8,64,4,Round Robin,128,21,5,32,352,8,0.58,417698,405468,12230,128,12102,97.07%,2.93%,5,0.00%,0,0,Corruption2.trc
8,64,4,Random,128,21,5,32,352,8,0.58,354809,319099,35710,128,35582,89.94%,10.06%,9.58,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,64,4,Random,128,21,5,32,352,8,0.58,366344,326093,40251,128,40123,89.01%,10.99%,10.37,0.00%,0,0,A-9_new_1.5.pdf.trc
8,64,4,Random,128,21,5,32,352,8,0.58,417698,383831,33867,128,33739,91.89%,8.11%,8.37,0.00%,0,0,Corruption2.trc
